url,match_id,status,rows,tables,output_file,gcs_upload,gcs_path
https://fbref.com/en/matches/c5e0de02/Shakhtar-Donetsk-Atalanta-October-2-2024-Champions-League,c5e0de02,Success,32,2,match_data\match_c5e0de02_player_stats.csv,Success,gs://striker-project/match_data/match_c5e0de02_player_stats.csv
https://fbref.com/en/matches/a749c1fe/Liverpool-Bologna-October-2-2024-Champions-League,a749c1fe,Success,32,2,match_data\match_a749c1fe_player_stats.csv,Success,gs://striker-project/match_data/match_a749c1fe_player_stats.csv
https://fbref.com/en/matches/a516238d/Aston-Villa-Bayern-Munich-October-2-2024-Champions-League,a516238d,Success,31,2,match_data\match_a516238d_player_stats.csv,Success,gs://striker-project/match_data/match_a516238d_player_stats.csv
https://fbref.com/en/matches/e5e2d3a2/Benfica-Atletico-Madrid-October-2-2024-Champions-League,e5e2d3a2,Success,32,2,match_data\match_e5e2d3a2_player_stats.csv,Success,gs://striker-project/match_data/match_e5e2d3a2_player_stats.csv
https://fbref.com/en/matches/facef700/Dinamo-Zagreb-Monaco-October-2-2024-Champions-League,facef700,Success,29,2,match_data\match_facef700_player_stats.csv,Success,gs://striker-project/match_data/match_facef700_player_stats.csv
https://fbref.com/en/matches/2e8465b9/RB-Leipzig-Juventus-October-2-2024-Champions-League,2e8465b9,Success,31,2,match_data\match_2e8465b9_player_stats.csv,Success,gs://striker-project/match_data/match_2e8465b9_player_stats.csv
https://fbref.com/en/matches/f871e405/Sturm-Graz-Club-Brugge-October-2-2024-Champions-League,f871e405,Success,29,2,match_data\match_f871e405_player_stats.csv,Success,gs://striker-project/match_data/match_f871e405_player_stats.csv
https://fbref.com/en/matches/70cd3947/Lille-Real-Madrid-October-2-2024-Champions-League,70cd3947,Success,28,2,match_data\match_70cd3947_player_stats.csv,Success,gs://striker-project/match_data/match_70cd3947_player_stats.csv
https://fbref.com/en/matches/8450b165/Monaco-Red-Star-Belgrade-October-22-2024-Champions-League,8450b165,Success,32,2,match_data\match_8450b165_player_stats.csv,Success,gs://striker-project/match_data/match_8450b165_player_stats.csv
https://fbref.com/en/matches/e11229bf/Milan-Club-Brugge-October-22-2024-Champions-League,e11229bf,Success,32,2,match_data\match_e11229bf_player_stats.csv,Success,gs://striker-project/match_data/match_e11229bf_player_stats.csv
https://fbref.com/en/matches/32f2220e/Arsenal-Shakhtar-Donetsk-October-22-2024-Champions-League,32f2220e,Success,30,2,match_data\match_32f2220e_player_stats.csv,Success,gs://striker-project/match_data/match_32f2220e_player_stats.csv
https://fbref.com/en/matches/e546b256/Aston-Villa-Bologna-October-22-2024-Champions-League,e546b256,Success,31,2,match_data\match_e546b256_player_stats.csv,Success,gs://striker-project/match_data/match_e546b256_player_stats.csv
https://fbref.com/en/matches/48444796/Sturm-Graz-Sporting-CP-October-22-2024-Champions-League,48444796,Success,32,2,match_data\match_48444796_player_stats.csv,Success,gs://striker-project/match_data/match_48444796_player_stats.csv
https://fbref.com/en/matches/3f121c09/Juventus-Stuttgart-October-22-2024-Champions-League,3f121c09,Success,30,2,match_data\match_3f121c09_player_stats.csv,Success,gs://striker-project/match_data/match_3f121c09_player_stats.csv
https://fbref.com/en/matches/b77278d7/Real-Madrid-Dortmund-October-22-2024-Champions-League,b77278d7,Success,30,2,match_data\match_b77278d7_player_stats.csv,Success,gs://striker-project/match_data/match_b77278d7_player_stats.csv
https://fbref.com/en/matches/bde57607/Girona-Slovan-Bratislava-October-22-2024-Champions-League,bde57607,Success,28,2,match_data\match_bde57607_player_stats.csv,Success,gs://striker-project/match_data/match_bde57607_player_stats.csv
https://fbref.com/en/matches/59f18bd3/Paris-Saint-Germain-PSV-Eindhoven-October-22-2024-Champions-League,59f18bd3,Success,30,2,match_data\match_59f18bd3_player_stats.csv,Success,gs://striker-project/match_data/match_59f18bd3_player_stats.csv
https://fbref.com/en/matches/7afed8dc/Brest-Bayer-Leverkusen-October-23-2024-Champions-League,7afed8dc,Success,32,2,match_data\match_7afed8dc_player_stats.csv,Success,gs://striker-project/match_data/match_7afed8dc_player_stats.csv
https://fbref.com/en/matches/ef40e844/Atalanta-Celtic-October-23-2024-Champions-League,ef40e844,Success,32,2,match_data\match_ef40e844_player_stats.csv,Success,gs://striker-project/match_data/match_ef40e844_player_stats.csv
https://fbref.com/en/matches/75a4583e/Benfica-Feyenoord-October-23-2024-Champions-League,75a4583e,Success,31,2,match_data\match_75a4583e_player_stats.csv,Success,gs://striker-project/match_data/match_75a4583e_player_stats.csv
https://fbref.com/en/matches/b192c7c9/Manchester-City-Sparta-Prague-October-23-2024-Champions-League,b192c7c9,Success,32,2,match_data\match_b192c7c9_player_stats.csv,Success,gs://striker-project/match_data/match_b192c7c9_player_stats.csv
https://fbref.com/en/matches/007fa209/Red-Bull-Salzburg-Dinamo-Zagreb-October-23-2024-Champions-League,007fa209,Success,32,2,match_data\match_007fa209_player_stats.csv,Success,gs://striker-project/match_data/match_007fa209_player_stats.csv
https://fbref.com/en/matches/f9298241/Young-Boys-Internazionale-October-23-2024-Champions-League,f9298241,Success,32,2,match_data\match_f9298241_player_stats.csv,Success,gs://striker-project/match_data/match_f9298241_player_stats.csv
https://fbref.com/en/matches/710ee5bb/Barcelona-Bayern-Munich-October-23-2024-Champions-League,710ee5bb,Success,32,2,match_data\match_710ee5bb_player_stats.csv,Success,gs://striker-project/match_data/match_710ee5bb_player_stats.csv
https://fbref.com/en/matches/c956d6a4/Atletico-Madrid-Lille-October-23-2024-Champions-League,c956d6a4,Success,31,2,match_data\match_c956d6a4_player_stats.csv,Success,gs://striker-project/match_data/match_c956d6a4_player_stats.csv
